店舗名,住所
七輪焼肉 安安 藤沢石川店,神奈川県藤沢市石川1-15-16
大船de焼肉DOURAKU,神奈川県横浜市栄区笠間2-2-1
ロース焼肉専門店 北京店向河原店,神奈川県川崎市中原区下沼部1905-13
厚木ホルモン焼肉 とび蔵 大船店,神奈川県鎌倉市大船1-26-32
大雄山塩ホルモン焼肉炭備,神奈川県南足柄市関本591-1
炭火焼肉 牛族 向ケ丘遊園,神奈川県川崎市多摩区登戸2736-5
炭火焼肉酒房 青とうがらし南林間店,神奈川県座間市ひばりが丘2-16-1
炭火焼肉酒房 青とうがらし中山店,神奈川県横浜市緑区台村町292-6
桜木町de焼肉 DOURAKU,神奈川県横浜市中区桜木町1-101-1
国産牛焼肉くいどん 中原店,神奈川県川崎市中原区上小田中6-18-3
備長七輪焼肉 牛蔵（ぎゅうくら）,神奈川県横浜市中区伊勢佐木町4-111
仙台牛×炭火焼肉 ミート食楽部関内・阪東橋店,神奈川県横浜市中区曙町3-44
和牛焼肉店 肉小僧 鶴見本店,神奈川県横浜市鶴見区鶴見中央4-42-12
炭火焼肉本舗「あぶり屋」 上大岡店,神奈川県横浜市港南区上大岡西1-17-24
炭火焼肉本舗「あぶり屋」 上永谷店,神奈川県横浜市港南区上永谷2-11-1
炭火焼肉酒房 青とうがらし 都筑店,神奈川県横浜市都筑区大丸22-21
国産牛焼肉くいどん 湘南台店,神奈川県藤沢市高倉1215
個室 炭火焼肉 大将軍 川崎本店,神奈川県川崎市川崎区小川町5-17
七輪焼肉 安安 イセザキモール店,神奈川県横浜市中区伊勢佐木町2-79
十日市場本格塩ホルモン焼肉炭備,神奈川県横浜市緑区十日市場町837-2
鉄板焼肉 餃子 だだ乃屋 綱島店,神奈川県横浜市港北区綱島西1-11-4
炭火焼肉ホルモン酒場 仙次郎小田原店,神奈川県小田原市栄町2-1-21
登戸で30年続く焼肉店 松坂,神奈川県川崎市多摩区登戸2601
少人数貸切×和牛炭火焼肉ご宴会えのもと 湘南台,神奈川県藤沢市湘南台2-8-7
黒毛和牛A5焼肉 源 横浜中華街,神奈川県横浜市中区山下町202-9
半個室×焼肉 べごっこのカルビ 平塚,神奈川県平塚市紅谷町14-3
国産牛焼肉くいどん リコパ川崎店,神奈川県川崎市川崎区小田栄2-2-3
国産牛焼肉くいどん 新百合ヶ丘店,神奈川県川崎市麻生区上麻生4-15-1
肉問屋直営焼肉 国産牛食べ放題吟の利久 横浜店,神奈川県横浜市西区南幸2-17-8
食べ放題 元氣七輪焼肉 牛繁 藤沢店,神奈川県藤沢市南藤沢20-15
完全個室焼肉 ITADAKI 横浜,神奈川県横浜市神奈川区鶴屋町2-13-6
食べ放題 元氣七輪焼肉 牛繁 稲田堤店,神奈川県川崎市多摩区菅1-3-15
食べ放題 元氣七輪焼肉 牛繁 元住吉店,神奈川県川崎市中原区木月2-5-10
大阪焼肉ホルモンふたご 横浜駅西口店,神奈川県横浜市西区南幸2-5-3
幸せの焼肉食べ放題 かみむら牧場 横浜鶴見駒岡店,神奈川県横浜市鶴見区駒岡5-5-2
食べ放題 元氣七輪焼肉 牛繁 伊勢佐木町店,神奈川県横浜市中区伊勢佐木町2-78
和牛焼肉ホルモンレストラン えいりぃ亭,神奈川県横浜市都筑区中川中央1-33-7
食べ放題 元氣七輪焼肉 牛繁 小田急相模原店,神奈川県相模原市南区南台5-12-16
食べ放題 元氣七輪焼肉 牛繁 川崎仲見世通り店,神奈川県川崎市川崎区砂子2-6-11
0秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 野毛桜木町店,神奈川県横浜市中区花咲町1-49
牛角 横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-16-6
とんちゃん亭川崎店,神奈川県川崎市川崎区砂子1-6-8
牛角 足柄開成町店,神奈川県足柄上郡開成町宮台240-1
ホルモン本舗 我家,神奈川県横浜市南区花之木町1-16
熱烈カルビ 港南台店,神奈川県横浜市港南区港南台3-24-7
熱烈カルビ 瀬谷店,神奈川県横浜市瀬谷区橋戸2-16-8
熱烈カルビ 山手台店,神奈川県横浜市泉区岡津町134-1
やきにく 煖 Dan,神奈川県横浜市都筑区仲町台1-31-6
熱烈カルビ本牧店,神奈川県横浜市中区本牧原17-2
叙々苑 横浜ハマボールイアス店,神奈川県横浜市西区北幸2-2-1
叙々苑 横浜スカイビル28,神奈川県横浜市西区高島2-19-12
牛角 武蔵中原店,神奈川県川崎市中原区上小田中6-21-5
叙々苑 横浜港北店,神奈川県横浜市都筑区中川中央1-1-3
熱烈カルビ三ツ沢上町店,神奈川県横浜市神奈川区三ツ沢上町4-11
牛角 秦野店,神奈川県秦野市平沢382-3
鶴橋,神奈川県平塚市菫平8-19
牛角 平塚旭店,神奈川県平塚市根坂間214-1
牛角鷺沼店,神奈川県川崎市宮前区鷺沼3-1-27
牛角 横須賀汐入店,神奈川県横須賀市本町2-1-12
牛角溝の口店,神奈川県川崎市高津区溝口2-6-32
牛角 藤沢店,神奈川県藤沢市南藤沢3-4
牛角 横浜北幸店,神奈川県横浜市西区北幸2-2-6
牛角 横須賀モアーズシティ店,神奈川県横須賀市若松町2-30
あだんの盛,神奈川県川崎市中原区新城2-3-9
牛角 橋本店,神奈川県相模原市緑区橋本3-17-3
牛角 東戸塚店,神奈川県横浜市戸塚区品濃町548-1
牛角 横浜ムービル店,神奈川県横浜市西区南幸2-1-22
食べ放題・飲み放題元町 de 焼肉DOURAKU,神奈川県横浜市中区新山下1-2-8
牛角 南本宿店,神奈川県横浜市旭区南本宿町35-5
牛角日吉店,神奈川県横浜市港北区日吉本町1-19-17
大ちゃん,神奈川県川崎市麻生区栗平2-2-5
天山,神奈川県横浜市西区高島2-19-12
牛角 伊勢原店,神奈川県伊勢原市桜台3-6-6
HAYA 江ノ島店,神奈川県藤沢市片瀬海岸2-16-20
カルビ屋大福中央林間店,神奈川県大和市中央林間8-8-5
牛角 厚木妻田店,神奈川県厚木市妻田北3-1-2
ひょうたん,神奈川県横浜市緑区台村町283
横濱ホルモン会館 エース 本厚木店,神奈川県厚木市中町2-10-23
大徳壽 みなとみらい,神奈川県横浜市中区桜木町1-1-7
娯楽苑,神奈川県横浜市戸塚区戸塚町4191
牛角武蔵小杉店,神奈川県川崎市中原区小杉町3-69-1
BQG,神奈川県川崎市川崎区藤崎4-15-13
韓の台所別邸 川崎店,神奈川県川崎市川崎区砂子2-1-10
西の屋,神奈川県川崎市川崎区浜町4-17-24
アリラン亭浅間町本店,神奈川県横浜市西区浅間町3-177-1
ワンカルビ 川崎宮前店,神奈川県川崎市宮前区犬蔵3-9-12
ワンカルビ 大和上和田店,神奈川県大和市上和田字上ノ原39-1
ワンカルビルララこうほく店,神奈川県横浜市都筑区中川中央2-2-1
ワンカルビ相模原星が丘店,神奈川県相模原市中央区星が丘1-1-27
ホルモン専門店 烈横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-12-3
十勝ホルモンKEMURI阪東橋店,神奈川県横浜市中区曙町4-49
牛國,神奈川県横浜市中区伊勢佐木町2-10-4
さかい横須賀馬堀海岸店,神奈川県横須賀市大津町1-22-8-2F
牛角 菊名店,神奈川県横浜市港北区菊名6-1-7
牛角上大岡西口店,神奈川県横浜市港南区上大岡西1-10-9
食彩和牛 しげ吉大和本店,神奈川県大和市深見西2-1-3
牛角中山店,神奈川県横浜市緑区中山町301-6
横浜慶州苑菊名店,神奈川県横浜市港北区篠原北1-1-2
韓食菜炎 ヨンドン藤沢駅南口店,神奈川県藤沢市南藤沢23-10
エイジング・ビーフ横浜店,神奈川県横浜市神奈川区鶴屋町1-7-1
炭火串居酒屋 とりあえず,神奈川県横浜市保土ケ谷区川辺町2-2
和牛屋 老舗肉問屋直営 小田原店,神奈川県小田原市栄町3-1-10
空,神奈川県横浜市金沢区能見台通22-8
童,神奈川県鎌倉市大船1-22-13
肉卸直送×黒毛和牛焼肉かまくら本店,神奈川県鎌倉市小町2-10-18
けやき,神奈川県横浜市磯子区洋光台3-10-15
平塚ホルモンセンター 小太郎,神奈川県平塚市代官町10-10
