店舗名,住所,lat,lng
国産牛焼肉くいどん リコパ川崎店,神奈川県川崎市川崎区小田栄2-2-3,35.5158187,139.7073049
国産牛焼肉くいどん 新百合ヶ丘店,神奈川県川崎市麻生区上麻生4-15-1,35.5947599,139.5080029
肉問屋直営焼肉 国産牛食べ放題吟の利久 横浜店,神奈川県横浜市西区南幸2-17-8,35.4637255,139.616104
食べ放題 元氣七輪焼肉 牛繁 藤沢店,神奈川県藤沢市南藤沢20-15,35.3369979,139.4889476
完全個室焼肉 ITADAKI 横浜,神奈川県横浜市神奈川区鶴屋町2-13-6,35.4684973,139.6230851
食べ放題 元氣七輪焼肉 牛繁 稲田堤店,神奈川県川崎市多摩区菅1-3-15,35.6328206,139.5347018
食べ放題 元氣七輪焼肉 牛繁 元住吉店,神奈川県川崎市中原区木月2-5-10,35.5646294,139.6551869
大阪焼肉ホルモンふたご 横浜駅西口店,神奈川県横浜市西区南幸2-5-3,35.4631779,139.6179472
幸せの焼肉食べ放題 かみむら牧場 横浜鶴見駒岡店,神奈川県横浜市鶴見区駒岡5-5-2,35.5314827,139.6492345
食べ放題 元氣七輪焼肉 牛繁 伊勢佐木町店,神奈川県横浜市中区伊勢佐木町2-78,35.4433273,139.6310134
和牛焼肉ホルモンレストラン えいりぃ亭,神奈川県横浜市都筑区中川中央1-33-7,35.5560044,139.5782917
食べ放題 元氣七輪焼肉 牛繁 小田急相模原店,神奈川県相模原市南区南台5-12-16,35.5157691,139.4204478
食べ放題 元氣七輪焼肉 牛繁 川崎仲見世通り店,神奈川県川崎市川崎区砂子2-6-11,35.5289054,139.7004185
0秒レモンサワー 仙台ホルモン焼肉酒場ときわ亭 野毛桜木町店,神奈川県横浜市中区花咲町1-49,35.4494837,139.630087
牛角 横浜鶴屋町店,神奈川県横浜市神奈川区鶴屋町2-16-6,35.4682768,139.6227631
とんちゃん亭川崎店,神奈川県川崎市川崎区砂子1-6-8,35.5317585,139.701927
牛角 足柄開成町店,神奈川県足柄上郡開成町宮台240-1,35.3283771,139.1224864
ホルモン本舗 我家,神奈川県横浜市南区花之木町1-16,35.4325676,139.6104679
熱烈カルビ 港南台店,神奈川県横浜市港南区港南台3-24-7,35.3804535,139.5785551
熱烈カルビ 瀬谷店,神奈川県横浜市瀬谷区橋戸2-16-8,35.4631826,139.4804114
熱烈カルビ 山手台店,神奈川県横浜市泉区岡津町134-1,35.4258129,139.5277052
やきにく 煖 Dan,神奈川県横浜市都筑区仲町台1-31-6,35.5373326,139.5886256
熱烈カルビ本牧店,神奈川県横浜市中区本牧原17-2,35.4226795,139.6649994
叙々苑 横浜ハマボールイアス店,神奈川県横浜市西区北幸2-2-1,35.4659539,139.6172901
叙々苑 横浜スカイビル28,神奈川県横浜市西区高島2-19-12,35.4645561,139.6246488
牛角 武蔵中原店,神奈川県川崎市中原区上小田中6-21-5,35.5809327,139.6421307
叙々苑 横浜港北店,神奈川県横浜市都筑区中川中央1-1-3,35.5535024,139.5775156
熱烈カルビ三ツ沢上町店,神奈川県横浜市神奈川区三ツ沢上町4-11,35.4768943,139.6027495
牛角 秦野店,神奈川県秦野市平沢382-3,35.3725802,139.1992881
鶴橋,神奈川県平塚市菫平8-19,35.3186259,139.3393644
牛角 平塚旭店,神奈川県平塚市根坂間214-1,35.3358323,139.3078236
